id,date,business_name,pzdm,name,settlement,opening,highest_price,lowest_price,today_close,clearing,ups_downs_1,ups_downs_2,turnover_hand,empty_plate,increase_decrease,turnover_volume,delivery_settlement_price
1448518,20100416,F4,IF,IF1005,3399,3450,3488,3413.2,3415.6,3431.2,16.6,32.2,48988,2702,0,50538805320,0
1448519,20100416,F4,IF,IF1006,3399,3470,3517.6,3440,3441.6,3456.2,42.6,57.2,4908,404,0,5115764460,0
1448520,20100416,F4,IF,IF1009,3399,3600,3647.8,3505.4,3512,3520.4,113,121.4,1730,182,0,1840497600,0
1448521,20100416,F4,IF,IF1012,3399,3618.8,3669,3551.2,3557,3565.4,158,166.4,2831,302,0,3042605340,0
1924563,20100416,F4,IF,IF,0,3513.79,3517.22,3432.8855,3435.3,0,0,0,58457,3590,0,0,0
1448522,20100419,F4,IF,IF1005,3431.2,3396,3398,3166.2,3197.4,3201.2,-233.8,-230,109733,3954,0,1.08E+11,0
1448523,20100419,F4,IF,IF1006,3456.2,3420,3420,3195.2,3218,3223,-238.2,-233.2,8093,580,0,8041539780,0
1448524,20100419,F4,IF,IF1009,3520.4,3482.2,3482.2,3256.8,3262,3283.6,-258.4,-236.8,2471,299,0,2502957780,0
1448525,20100419,F4,IF,IF1012,3565.4,3531.2,3532,3308.8,3320,3335.8,-245.4,-229.6,3315,287,0,3411611940,0
1924538,20100419,F4,IF,IF,0,3414.96,3415.754,3184.4666,3210.38,0,0,0,123612,5120,0,0,0
1448526,20100420,F4,IF,IF1005,3201.2,3209.2,3240,3168.8,3214.6,3216.6,13.4,15.4,141862,4496,0,1.36E+11,0
1448527,20100420,F4,IF,IF1006,3223,3227.2,3261,3198,3241.4,3242.6,18.4,19.6,8005,615,0,7758111420,0
1448528,20100420,F4,IF,IF1009,3283.6,3268,3323,3245.2,3292,3292,8.4,8.4,1979,317,0,1948790460,0
1448529,20100420,F4,IF,IF1012,3335.8,3332.2,3370,3315.8,3353,3352.2,17.2,16.4,1573,322,0,1575601140,0
1924513,20100420,F4,IF,IF,0,3222.23,3248.4,3181.7964,3229.48,0,0,0,153419,5750,0,0,0
1448530,20100421,F4,IF,IF1005,3216.6,3215,3281.2,3208,3267.2,3266,50.6,49.4,114531,5062,0,1.11E+11,0
1448531,20100421,F4,IF,IF1006,3242.6,3244.2,3307.8,3237,3292.8,3294,50.2,51.4,4678,634,0,4583530440,0
1448532,20100421,F4,IF,IF1009,3292,3299,3360.4,3276,3348,3345.4,56,53.4,752,260,0,748250220,0
1448533,20100421,F4,IF,IF1012,3352.2,3364,3420,3351,3409,3407.4,56.8,55.2,1062,363,0,1076737140,0
1924488,20100421,F4,IF,IF,0,3230.32,3292.8228,3221.5266,3281.24,0,0,0,121023,6319,0,0,0
1448534,20100422,F4,IF,IF1005,3266,3260.2,3274.4,3211,3236.2,3240,-29.8,-26,133247,5383,0,1.30E+11,0
1448535,20100422,F4,IF,IF1006,3294,3295,3304.2,3244.6,3266.8,3268.8,-27.2,-25.2,5281,653,0,5182864020,0
1448536,20100422,F4,IF,IF1009,3345.4,3345.4,3353,3290.2,3316,3320.2,-29.4,-25.2,932,311,0,928945800,0
1448537,20100422,F4,IF,IF1012,3407.4,3404.8,3414.8,3359.4,3387.4,3388.4,-20,-19,847,369,0,861156540,0
1924463,20100422,F4,IF,IF,0,3275.4,3284.71,3223.5278,3251.18,0,0,0,140307,6716,0,0,0
1448538,20100423,F4,IF,IF1005,3240,3241,3266,3221,3221.2,3235.6,-18.8,-4.4,116981,5808,0,1.14E+11,0
1448539,20100423,F4,IF,IF1006,3268.8,3266.8,3293.6,3254,3255.8,3267.2,-13,-1.6,3697,730,0,3633720900,0
1448540,20100423,F4,IF,IF1009,3320.2,3316,3344.8,3304,3304,3317.6,-16.2,-2.6,615,310,0,613711260,0
1448541,20100423,F4,IF,IF1012,3388.4,3388.6,3428.4,3381,3385,3392.6,-3.4,4.2,670,374,0,683063940,0
1924438,20100423,F4,IF,IF,0,3255.14,3277.12,3235.406,3236.73,0,0,0,121963,7222,0,0,0
1448542,20100426,F4,IF,IF1005,3235.6,3243,3252,3211.8,3219.6,3224.8,-16,-10.8,112229,7079,0,1.09E+11,0
1448543,20100426,F4,IF,IF1006,3267.2,3277.2,3285,3249.2,3255,3259.8,-12.2,-7.4,3082,906,0,3024189240,0
1448544,20100426,F4,IF,IF1009,3317.6,3304,3334.6,3304,3312,3314.2,-5.6,-3.4,430,319,0,428722740,0
1448545,20100426,F4,IF,IF1012,3392.6,3419.8,3419.8,3379.2,3390.4,3391.2,-2.2,-1.4,518,383,0,528362220,0
1924413,20100426,F4,IF,IF,0,3257.02,3266.09,3225.03,3234.22,0,0,0,116259,8687,0,0,0
1448546,20100427,F4,IF,IF1005,3224.8,3201.2,3205,3107.6,3138.8,3121.8,-86,-103,139961,7386,0,1.32E+11,0
1448547,20100427,F4,IF,IF1006,3259.8,3237.8,3238,3149,3180.4,3164.4,-79.4,-95.4,4616,1191,0,4410448560,0
1448548,20100427,F4,IF,IF1009,3314.2,3312,3312,3203.4,3262.8,3242.6,-51.4,-71.6,686,302,0,671493420,0
1448549,20100427,F4,IF,IF1012,3391.2,3390.4,3390.4,3314.4,3338.2,3328.4,-53,-62.8,860,428,0,861975000,0
1924388,20100427,F4,IF,IF,0,3216.39,3219.5422,3122.98,3157.32,0,0,0,146123,9307,0,0,0
1448550,20100428,F4,IF,IF1005,3121.8,3101.6,3142.6,3094.2,3129,3132.8,7.2,11,128530,7092,0,1.20E+11,0
1448551,20100428,F4,IF,IF1006,3164.4,3151,3184.6,3133.2,3172,3175.8,7.6,11.4,4316,1299,0,4100911680,0
1448552,20100428,F4,IF,IF1009,3242.6,3249.8,3265.6,3208,3255,3256.2,12.4,13.6,383,262,0,372763320,0
1448553,20100428,F4,IF,IF1012,3328.4,3300.4,3348.4,3300.4,3339.8,3341.4,11.4,13,562,414,0,561036060,0
1924363,20100428,F4,IF,IF,0,3122.18,3157.9917,3114.8171,3148.43,0,0,0,133791,9067,0,0,0
1448554,20100429,F4,IF,IF1005,3132.8,3141,3157.6,3082.2,3083.8,3114.4,-49,-18.4,116254,8705,0,1.09E+11,0
1448555,20100429,F4,IF,IF1006,3175.8,3181.2,3199.4,3130,3131,3155.2,-44.8,-20.6,4331,1599,0,4127644320,0
1448556,20100429,F4,IF,IF1009,3256.2,3267.6,3281.8,3215,3215,3240.4,-41.2,-15.8,290,289,0,283827360,0
