date,CSI300_Close,CSI1000_Close,LCVI_Close,SCGI_Close,WASI_Close,CSI300_PB,CSI1000_PB,LCVI_PB,SCGI_PB,WASI_PB
2009/12/1,3560.831,4394.99,4627.0835,4109.1788,2901.8079,3.2825,,,,3.5214
2009/12/2,3597.329,4474.926,4666.2974,4176.4685,2934.136,3.3154,,,,3.5602
2009/12/3,3590.876,4515.835,4638.4644,4212.0841,2932.4329,3.3019,,,,3.5557
2009/12/4,3643.491,4375.979,4789.9594,4108.7244,2950.3362,3.3776,,,,3.5971
2009/12/7,3668.832,4459.079,4786.9781,4182.6524,2972.4902,3.3856,,,,3.616
2009/12/8,3624.019,4450.83,4732.8021,4172.3621,2947.2083,3.3449,,,,3.5807
2009/12/9,3554.478,4386.532,4675.9617,4098.3758,2901.2964,3.2873,,,,3.5214
2009/12/10,3577.237,4411.686,4687.1151,4128.3285,2917.0291,3.3015,,,,3.5393
2009/12/11,3575.02,4408.394,4674.2394,4131.748,2912.7725,3.295,,,,3.5338
2009/12/14,3612.753,4384.536,4811.1121,4123.2765,2946.9395,3.3619,,,,3.5839
2009/12/15,3583.341,4412.453,4774.146,4129.3451,2931.4055,3.327,,,,3.5554
2009/12/16,3560.723,4391.336,4739.5667,4118.3595,2912.1089,3.3024,,,,3.5288
2009/12/17,3480.153,4258.451,4649.3902,3997.1073,2841.1541,3.2311,,,,3.4445
2009/12/18,3391.735,4091.683,4605.2191,3829.5543,2774.1475,3.169,,,,3.3662
2009/12/21,3396.622,4146.904,4589.0758,3878.1102,2787.9209,3.1713,,,,3.378
2009/12/22,3305.543,4024.344,4521.009,3767.526,2724.9814,3.1014,,,,3.2986
2009/12/23,3336.48,4098.224,4540.5461,3833.8846,2753.5435,3.1248,,,,3.3297
2009/12/24,3438.817,4229.803,4650.4984,3970.0954,2831.748,3.2059,,,,3.4172
2009/12/25,3424.783,4255.653,4621.6179,3992.1587,2828.4138,3.1899,,,,3.4102
2009/12/28,3478.433,4326.272,4695.396,4058.4115,2871.1904,3.2363,,,,3.4607
2009/12/29,3500.737,4351.143,4747.6019,4069.5399,2890.7117,3.2656,,,,3.4857
2009/12/30,3558.857,4336.605,4865.5303,4047.1188,2924.0989,3.3314,,,,3.5369
2009/12/31,3575.684,4391.281,4875.0831,4093.8965,2939.7869,3.3452,,,,3.5556
2010/1/4,3535.229,4406.765,4801.738,4111.904,2917.8525,3.3084,,2.7787,4.3815,3.5237
2010/1/5,3564.038,4462.232,4829.106,4158.27,2941.4729,3.3449,,2.8017,4.4299,3.562
2010/1/6,3541.727,4452.868,4780.37,4153.221,2921.8748,3.3133,,2.7692,4.3964,3.534
2010/1/7,3471.456,4361.161,4673.646,4072.981,2860.3718,3.2496,,2.706,4.3115,3.4646
2010/1/8,3480.13,4417.771,4683.236,4126.638,2872.4092,3.2475,,2.7084,4.3647,3.4713
2010/1/11,3482.052,4449.942,4677.926,4164.726,2879.4717,3.2616,,2.7206,4.4115,3.4888
2010/1/12,3534.916,4541.602,4735.098,4259.257,2929.6306,3.3189,,2.7552,4.5028,3.5525
2010/1/13,3421.144,4485.317,4531.597,4208.703,2849.6272,3.2076,,2.6382,4.4341,3.454
2010/1/14,3469.051,4609.304,4575.673,4322.265,2896.4685,3.2419,,2.656,4.546,3.5036
