date,CSI300_Close,CSI1000_Close,LCVI_Close,SCGI_Close,WASI_Close,CSI300_PB,CSI1000_PB,LCVI_PB,SCGI_PB,WASI_PB
2025/3/3,3888.4738,6273.6699,7793.0761,4785.4078,5144.8037,1.3453,2.1246,0.8632,2.3943,1.5877
2025/3/4,3885.2208,6357.6277,7785.7625,4815.4691,5176.5321,1.3428,2.1492,0.8581,2.4326,1.5944
2025/3/5,3902.5706,6398.237,7856.5366,4814.2034,5201.0337,1.3524,2.1633,0.868,2.432,1.6038
2025/3/6,3956.2369,6534.9711,7884.2066,4900.8355,5285.3792,1.3647,2.203,0.8676,2.4712,1.6237
2025/3/7,3944.0143,6507.7645,7878.6584,4882.219,5262.8346,1.3615,2.1946,0.8677,2.4642,1.6182
2025/3/10,3928.8018,6520.9725,7819.4415,4896.1645,5260.9313,1.3543,2.197,0.861,2.4719,1.6153
2025/3/11,3941.4157,6551.7341,7853.8076,4917.476,5280.7371,1.3593,2.2059,0.8649,2.4835,1.6217
2025/3/12,3927.2315,6566.9679,7819.8308,4922.9423,5280.8958,1.3545,2.2095,0.8599,2.4847,1.6202
2025/3/13,3911.5793,6466.8509,7844.7093,4864.5427,5234.9372,1.3529,2.178,0.8641,2.4586,1.6106
2025/3/14,4006.5567,6571.1707,7998.8462,4962.3074,5341.0791,1.3824,2.2127,0.8778,2.5059,1.642
2025/3/17,3996.7876,6589.5655,8004.8387,4963.6639,5348.1072,1.3793,2.2251,0.8789,2.5036,1.6427
2025/3/18,4007.7229,6611.9263,8020.9732,4978.7691,5366.7228,1.38,2.2346,0.8786,2.5118,1.6466
2025/3/19,4010.168,6564.6767,8064.343,4946.6399,5349.567,1.3824,2.2192,0.8826,2.494,1.6433
2025/3/20,3974.9918,6535.0624,7987.8343,4911.5659,5317.3979,1.3711,2.2114,0.8764,2.4767,1.633
2025/3/21,3914.6956,6405.611,7925.9018,4824.5094,5228.7153,1.3535,2.1696,0.871,2.4351,1.609
2025/3/24,3934.8486,6360.3412,7980.6869,4820.8344,5214.73,1.3579,2.1552,0.8744,2.4339,1.6055
2025/3/25,3932.2951,6310.7641,8011.6421,4802.2842,5195.4124,1.3588,2.1401,0.8789,2.4235,1.603
2025/3/26,3919.3566,6334.9077,7945.7551,4803.509,5201.7543,1.3564,2.1471,0.8757,2.4213,1.6047
2025/3/27,3932.4117,6328.7665,7971.2171,4803.754,5202.5216,1.3592,2.1483,0.8757,2.4213,1.6049
2025/3/28,3915.1662,6268.3214,7947.7713,4763.0631,5161.0088,1.3475,2.1272,0.8673,2.3995,1.5889
2025/3/31,3887.3056,6226.6488,7942.2177,4704.813,5117.2913,1.3307,2.1132,0.8611,2.3695,1.5698
2025/4/1,3887.6841,6259.4838,7905.2266,4729.7037,5136.2041,1.3311,2.1278,0.8583,2.384,1.576
2025/4/2,3884.3858,6277.2533,7934.3233,4735.8307,5139.7158,1.3306,2.133,0.861,2.3875,1.5769
2025/4/3,3861.5034,6203.257,7927.5747,4679.4274,5100.4322,1.3279,2.1105,0.8644,2.3608,1.5692
2025/4/7,3589.4406,5496.4427,7488.4551,4204.0567,4628.2407,1.2475,1.8717,0.8242,2.1197,1.4394
2025/4/8,3650.759,5530.0189,7688.7475,4214.799,4674.5426,1.2722,1.8885,0.8453,2.1303,1.4601
2025/4/9,3686.7943,5652.3303,7682.1221,4305.8775,4755.1606,1.2796,1.9264,0.8427,2.1722,1.4798
2025/4/10,3735.1151,5784.5853,7740.4824,4400.4542,4846.7492,1.29,1.9717,0.8431,2.22,1.5017
2025/4/11,3750.5167,5862.1876,7720.974,4455.8022,4880.6828,1.293,1.9995,0.8415,2.2463,1.5096
2025/4/14,3759.1422,5938.5262,7747.5575,4485.0351,4924.7538,1.2992,2.0292,0.8485,2.2619,1.5237
