tid,tdate,codetype,zlhy
241853,20100416,IF,IF1005
241870,20100419,IF,IF1005
241887,20100420,IF,IF1005
241904,20100421,IF,IF1005
241921,20100422,IF,IF1005
241938,20100423,IF,IF1005
241955,20100426,IF,IF1005
241972,20100427,IF,IF1005
241989,20100428,IF,IF1005
242006,20100429,IF,IF1005
242023,20100430,IF,IF1005
242040,20100504,IF,IF1005
242057,20100505,IF,IF1005
242074,20100506,IF,IF1005
242091,20100507,IF,IF1005
242108,20100510,IF,IF1005
242125,20100511,IF,IF1005
242142,20100512,IF,IF1005
242159,20100513,IF,IF1005
242176,20100514,IF,IF1005
242193,20100517,IF,IF1005
242210,20100518,IF,IF1006
242227,20100519,IF,IF1006
242244,20100520,IF,IF1006
242261,20100521,IF,IF1006
242278,20100524,IF,IF1006
242295,20100525,IF,IF1006
242312,20100526,IF,IF1006
242329,20100527,IF,IF1006
242346,20100528,IF,IF1006
242363,20100531,IF,IF1006
242380,20100601,IF,IF1006
242397,20100602,IF,IF1006
242414,20100603,IF,IF1006
242431,20100604,IF,IF1006
242448,20100607,IF,IF1006
242465,20100608,IF,IF1006
242482,20100609,IF,IF1006
242499,20100610,IF,IF1006
242516,20100611,IF,IF1006
242533,20100617,IF,IF1007
242550,20100618,IF,IF1007
242567,20100621,IF,IF1007
242584,20100622,IF,IF1007
242601,20100623,IF,IF1007
242618,20100624,IF,IF1007
242635,20100625,IF,IF1007
242652,20100628,IF,IF1007
242669,20100629,IF,IF1007
242686,20100630,IF,IF1007
242703,20100701,IF,IF1007
242720,20100702,IF,IF1007
242737,20100705,IF,IF1007
242754,20100706,IF,IF1007
242771,20100707,IF,IF1007
242788,20100708,IF,IF1007
242805,20100709,IF,IF1007
242822,20100712,IF,IF1007
242839,20100713,IF,IF1007
242856,20100714,IF,IF1007
242873,20100715,IF,IF1008
242890,20100716,IF,IF1008
242907,20100719,IF,IF1008
242924,20100720,IF,IF1008
242941,20100721,IF,IF1008
242958,20100722,IF,IF1008
242975,20100723,IF,IF1008
242992,20100726,IF,IF1008
243009,20100727,IF,IF1008
243026,20100728,IF,IF1008
243043,20100729,IF,IF1008
243060,20100730,IF,IF1008
243077,20100802,IF,IF1008
243094,20100803,IF,IF1008
243111,20100804,IF,IF1008
243128,20100805,IF,IF1008
243145,20100806,IF,IF1008
243162,20100809,IF,IF1008
243179,20100810,IF,IF1008
243196,20100811,IF,IF1008
243213,20100812,IF,IF1008
243230,20100813,IF,IF1008
243247,20100816,IF,IF1008
243264,20100817,IF,IF1008
243281,20100818,IF,IF1009
243298,20100819,IF,IF1009
243315,20100820,IF,IF1009
243332,20100823,IF,IF1009
243349,20100824,IF,IF1009
243366,20100825,IF,IF1009
243383,20100826,IF,IF1009
243400,20100827,IF,IF1009
243417,20100830,IF,IF1009
243434,20100831,IF,IF1009
243451,20100901,IF,IF1009
243468,20100902,IF,IF1009
243485,20100903,IF,IF1009
243502,20100906,IF,IF1009
243519,20100907,IF,IF1009
243536,20100908,IF,IF1009
243553,20100909,IF,IF1009
243570,20100910,IF,IF1009
243587,20100913,IF,IF1009
243604,20100914,IF,IF1009
243621,20100915,IF,IF1009
243638,20100916,IF,IF1010
243655,20100917,IF,IF1010
243672,20100920,IF,IF1010
243689,20100921,IF,IF1010
243706,20100927,IF,IF1010
243723,20100928,IF,IF1010
243740,20100929,IF,IF1010
243757,20100930,IF,IF1010
243782,20101011,IF,IF1010
243799,20101012,IF,IF1010
243816,20101013,IF,IF1010
243833,20101014,IF,IF1011
243850,20101015,IF,IF1011
243867,20101018,IF,IF1011
243884,20101019,IF,IF1011
243901,20101020,IF,IF1011
243918,20101021,IF,IF1011
243935,20101022,IF,IF1011
243952,20101025,IF,IF1011
243969,20101026,IF,IF1011
243986,20101027,IF,IF1011
244003,20101028,IF,IF1011
244020,20101029,IF,IF1011
244037,20101101,IF,IF1011
244054,20101102,IF,IF1011
244071,20101103,IF,IF1011
244088,20101104,IF,IF1011
244105,20101105,IF,IF1011
244122,20101108,IF,IF1011
244139,20101109,IF,IF1011
244156,20101110,IF,IF1011
244173,20101111,IF,IF1012
244190,20101112,IF,IF1012
244207,20101115,IF,IF1012
244224,20101116,IF,IF1012
244241,20101117,IF,IF1012
244258,20101118,IF,IF1012
244275,20101119,IF,IF1012
244292,20101122,IF,IF1012
244309,20101123,IF,IF1012
244326,20101124,IF,IF1012
244343,20101125,IF,IF1012
244360,20101126,IF,IF1012
244377,20101129,IF,IF1012
244394,20101130,IF,IF1012
244411,20101201,IF,IF1012
244428,20101202,IF,IF1012
244445,20101203,IF,IF1012
244462,20101206,IF,IF1012
244479,20101207,IF,IF1012
244496,20101208,IF,IF1012
244513,20101209,IF,IF1012
244530,20101210,IF,IF1012
244547,20101213,IF,IF1012
244564,20101214,IF,IF1012
244581,20101215,IF,IF1101
244598,20101216,IF,IF1101
244615,20101217,IF,IF1101
244632,20101220,IF,IF1101
244649,20101221,IF,IF1101
244666,20101222,IF,IF1101
244683,20101223,IF,IF1101
244700,20101224,IF,IF1101
244717,20101227,IF,IF1101
